CD,ST,District,State,Incumbent,Party,Clinton,Trump,Obama12,Romney,Obama08,McCain,GEOID,bvap,cvap,bvap_pct,black_pop,total_pop,black_pct,is_in_cbc
CA-49,CA,49,California,"Issa, Darrell",(R),50.7,43.2,45.7,52.4,49,48,50000US0649,14030,504795,0.027793461,18625,729770,0.02552174,FALSE
CA-50,CA,50,California,"Hunter, Duncan",(R),39.6,54.6,37.6,60.4,39,58,50000US0650,14045,483140,0.029070249,18940,736000,0.025733696,FALSE
CA-51,CA,51,California,"Vargas, Juan",(D),71.8,22.8,69.4,28.9,65,32,50000US0651,34640,406185,0.085281337,45950,730710,0.062884044,FALSE
CA-52,CA,52,California,"Peters, Scott",(D),58.1,35.6,52.1,45.7,55,43,50000US0652,16820,528915,0.031800951,21335,742155,0.028747364,FALSE
CA-53,CA,53,California,"Davis, Susan",(D),64.5,29.6,61.4,36.4,61,36,50000US0653,43765,525270,0.083319055,59135,753025,0.078529929,FALSE
CO-01,CO,01,Colorado,"DeGette, Diana",(D),69.0,23.2,69.0,28.8,70.9,27.6,50000US0801,45560,555290,0.082047219,65175,786255,0.082892955,FALSE
CO-02,CO,02,Colorado,"Polis, Jared",(D),56.2,34.9,57.9,39.5,61.2,37.2,50000US0802,4760,589025,0.008081151,6325,771980,0.008193217,FALSE
CO-03,CO,03,Colorado,"Tipton, Scott",(R),40.0,52.0,45.8,51.8,48.4,49.9,50000US0803,4430,537705,0.008238718,5925,727400,0.00814545,FALSE
CO-04,CO,04,Colorado,"Buck, Ken",(R),34.3,57.4,39.2,58.5,41.9,56.4,50000US0804,6825,532295,0.012821838,9970,764155,0.013047091,FALSE
CO-05,CO,05,Colorado,"Lamborn, Doug",(R),33.2,57.2,38.3,59.1,39.7,58.8,50000US0805,30065,556315,0.054043123,41350,761750,0.054282901,FALSE
CO-06,CO,06,Colorado,"Coffman, Mike",(R),50.2,41.3,51.6,46.5,53.6,44.9,50000US0806,43965,515295,0.085320059,69935,779950,0.089666004,FALSE
CO-07,CO,07,Colorado,"Perlmutter, Ed",(D),51.4,39.4,56.1,41.3,57.4,40.7,50000US0807,7470,538515,0.01387148,10885,767810,0.014176684,FALSE
CT-01,CT,01,Connecticut,"Larson, John",(D),59.4,36.3,63.3,35.6,65.8,32.9,50000US0901,66055,516180,0.127968926,103185,715145,0.144285425,FALSE
CT-02,CT,02,Connecticut,"Courtney, Joe",(D),48.7,45.8,55.9,42.6,58.6,40.0,50000US0902,19010,547310,0.034733515,25470,709760,0.03588537,FALSE
CT-03,CT,03,Connecticut,"DeLauro, Rosa",(D),55.9,40.4,62.6,36.3,62.6,36.2,50000US0903,65105,530185,0.12279676,93580,715345,0.130817997,FALSE
CT-04,CT,04,Connecticut,"Himes, Jim",(D),59.6,36.6,55.1,44.0,59.6,39.7,50000US0904,54600,476095,0.114682994,86660,733755,0.118104817,FALSE
CT-05,CT,05,Connecticut,"Esty, Elizabeth",(D),49.9,45.8,53.5,45.3,56.4,42.4,50000US0905,29975,513110,0.058418273,42465,714565,0.059427764,FALSE
DE-AL,DE,AL,Delaware,"Blunt Rochester, Lisa",(D),53.4,41.9,58.6,40.0,61.9,36.9,50000US1000,142015,689655,0.205921801,198445,934695,0.212309898,FALSE
FL-01,FL,01,Florida,"Gaetz, Matt",(R),28.2,67.5,30.1,68.5,32.0,66.8,50000US1201,72645,566265,0.128287992,97385,741950,0.131255475,FALSE
FL-02,FL,02,Florida,"Dunn, Neal",(R),30.6,66.2,34.0,64.6,35.2,63.4,50000US1202,70190,549900,0.127641389,90665,709130,0.127853849,FALSE
FL-03,FL,03,Florida,"Yoho, Ted",(R),40.2,56.2,41.9,56.6,44.2,54.6,50000US1203,81295,542395,0.149881544,113290,713475,0.158786222,FALSE
FL-04,FL,04,Florida,"Rutherford, John",(R),34.1,62.1,32.8,66.1,34.8,64.2,50000US1204,49650,562015,0.088342838,66880,747075,0.089522471,FALSE
FL-05,FL,05,Florida,"Lawson, Al",(D),61.3,35.9,63.6,35.4,63.2,35.9,50000US1205,239950,529155,0.453458816,335655,718315,0.467281067,TRUE
FL-06,FL,06,Florida,,(R),39.9,56.9,46.6,52.2,50.1,48.7,50000US1206,53470,575030,0.092986453,73645,728595,0.101078102,FALSE
FL-07,FL,07,Florida,"Murphy, Stephanie",(D),51.4,44.1,49.4,49.4,51.1,48.0,50000US1207,52920,552445,0.095792341,73685,737985,0.099846203,FALSE
FL-08,FL,08,Florida,"Posey, Bill",(R),37.7,58.4,42.1,56.6,43.8,54.9,50000US1208,48095,562860,0.085447536,69845,720695,0.096913396,FALSE
FL-09,FL,09,Florida,"Soto, Darren",(D),54.8,41.9,55.6,43.4,54.6,44.5,50000US1209,60170,530730,0.113372148,94895,780260,0.121619717,FALSE
FL-10,FL,10,Florida,"Demings, Val",(D),61.8,34.9,60.7,38.4,60.9,38.5,50000US1210,127380,498575,0.255488141,209425,762105,0.274798092,TRUE
